method,type,mean_auc,nodule_auc,mass_auc,nodule_mass_mean,min_auc,max_auc
Optimal Weighted,ensemble,0.8779329009382992,0.8445231500124212,0.8973832950476686,0.8709532225300449,0.7464720365103962,0.9520023279005027
Ark+,individual,0.8717568514449651,0.8429312661051566,0.89628893702276,0.8696101015639583,0.7457316931886986,0.9417860360312009
Rank Average,ensemble,0.8556107320267051,0.8065908753296764,0.8707904334259686,0.8386906543778225,0.729719373597814,0.9403526284216384
Weighted Average,ensemble,0.846266987092137,0.8059163103535747,0.8693743055622374,0.837645307957906,0.7312808706956619,0.9224303378884902
Simple Average,ensemble,0.8448288705279474,0.8033150022738553,0.8679655860538652,0.8356402941638603,0.7301854497803727,0.9217583617388403
ResNet-50,individual,0.8353870858602434,0.7798929100366215,0.8389551503793997,0.8094240302080107,0.6998250383746716,0.943534770927118
Maximum,ensemble,0.7966896559241468,0.7140417177564268,0.8167385547122641,0.7653901362343454,0.6860943939927568,0.915015509428434
TorchXRayVision,individual,0.7756920045315365,0.6909311080880236,0.8049262671356723,0.7479286876118479,0.6814370819671672,0.9062269448656326
