epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,lr
1,0.5145542051973222,0.36488658181532335,0.46647021905702185,0.3927449238583287,0.4470290592215651,0.9122565217056037,9.990232305719945e-05
2,0.30593664012377775,0.2720963859121321,0.498195309343719,0.42688989267251193,0.46999171930304734,0.9263558009484215,9.960967771506666e-05
3,0.2625814727684365,0.25884122288931705,0.5168746870642612,0.4457051628022249,0.5150457096182045,0.8989587176270523,9.912321891107009e-05
4,0.2562090730271007,0.26395043632871257,0.5166315234562078,0.4429331539810419,0.5364821597841709,0.8737993856799919,9.844486647586723e-05
5,0.2524753126728384,0.24286240866717443,0.540524736288285,0.4743450113404977,0.5950960213234642,0.848593964858571,9.757729755661011e-05
6,0.2480070906066442,0.2409030729270583,0.5514477916793377,0.5093114850517984,0.7880726993519283,0.7007400450968553,9.652393605146844e-05
7,0.23128470371984228,0.24311096012707242,0.5572046079968835,0.5009232786984767,0.7156958432087138,0.7638295411222853,9.528893909706797e-05
8,0.23195898669618595,0.22026629304539733,0.5846869511887576,0.529963685723495,0.7062945276338272,0.8055690353278507,9.387718066217124e-05
9,0.23292773202816142,0.22034086867512775,0.589898301044468,0.5462217777194839,0.8177551615827438,0.7152729612957677,9.229423231234974e-05
10,0.2591177259725106,0.25708045639713206,0.5272176404750083,0.4914277461312261,0.842432193124059,0.629600692073637,9.054634122155989e-05
11,0.23582312569399425,0.2201379880417271,0.5879771322806623,0.5397072556067262,0.7592212820771544,0.7596036771404426,8.864040551740155e-05
12,0.23241143674601483,0.22331383312362477,0.5846572617820988,0.5334347402807086,0.7438776070129448,0.7715820391908925,8.658394705735986e-05
13,0.23421589950971966,0.22617774345740455,0.5775023093689524,0.5181916250181571,0.6600877537017922,0.8389318665953767,8.438508174347008e-05
14,0.22636721535951276,0.22369114570435544,0.579528931023151,0.5311440643185629,0.7918183530422155,0.7183404437736619,8.205248749256013e-05
15,0.2231593265092071,0.24034525688404118,0.5468664031238801,0.506589341440613,0.8318675789490559,0.6585929542418946,7.959536998847742e-05
16,0.22722758711610413,0.21727804972243234,0.59151780432333,0.5390354488870913,0.7481811275440444,0.7725606898240659,7.702342635146032e-05
17,0.2250496887047834,0.22814191273399756,0.568393535999917,0.5080914229204115,0.6452049436974764,0.8421986057525105,7.434680686803489e-05
18,0.2166853501166724,0.21103737275883933,0.6032049038068028,0.5508946855545225,0.7537902220530713,0.7823634710725599,7.157607493247108e-05
19,0.2195143765993888,0.22268764899236868,0.5797352236918901,0.5366696434019749,0.8079378429762929,0.7131525610933399,6.872216535789155e-05
20,0.22687811789256107,0.21924586851642983,0.5863088785409394,0.5309033860583271,0.7430288216071232,0.7653527566606183,6.579634122155988e-05
21,0.21453558795059782,0.2176776199121604,0.5869932780017323,0.5300480115401703,0.7003599440905883,0.8089181880739953,6.28101494146603e-05
