train_loss,val_loss,val_binary_auc,val_5class_acc,lr
23.402765011374925,21.39889109920294,0.42714667403722123,0.0028653295128939827,9.990232305719945e-05
20.363230624083418,20.361547142181834,0.5367836742214851,0.0,9.960967771506666e-05
20.093739471963534,20.280294358217954,0.5337893864013267,0.0,9.912321891107009e-05
19.713504638803872,20.228749824458344,0.5788419016030957,0.0,9.844486647586723e-05
19.43321496508113,20.16913571398716,0.6376451077943616,0.0,9.757729755661011e-05
20.17199968912197,20.121679360682098,0.6665515017505066,0.0,9.652393605146844e-05
20.190278554210202,20.100499429128913,0.6835498433757139,0.0,9.528893909706797e-05
19.466014070081876,20.079619683645515,0.7512437810945274,0.0,9.387718066217124e-05
20.244622950570392,20.04642354314853,0.7982310668877833,0.0,9.229423231234974e-05
19.57532726142646,20.022343053517165,0.8252257232356733,0.0,9.054634122155989e-05
19.79169925702897,19.99853323250582,0.8552837663534181,0.0028653295128939827,8.864040551740155e-05
19.91900336453659,19.96929781894629,0.8707849640685461,0.0,8.658394705735986e-05
19.53295576102181,19.94713079621935,0.921872120877096,0.0,8.438508174347008e-05
19.62382776332974,19.931599636132532,0.9194536576377372,0.0,8.205248749256013e-05
19.754148408698377,19.92505063710035,0.925764695043302,0.0,7.959536998847742e-05
19.387686291202954,19.904187997637642,0.9356919108162889,0.0,7.702342635146032e-05
19.401470321602474,19.89059623401281,0.9392159572507831,0.0,7.434680686803489e-05
20.117854594194352,19.883387147526346,0.9431776303666851,0.0,7.157607493247108e-05
19.315126164314243,19.874888644177457,0.9533812419384559,0.0,6.872216535789155e-05
19.43807469140287,19.87424870958301,0.9528975492905841,0.0,6.579634122155988e-05
19.57901558265554,19.873313947530054,0.959001289847061,0.0,6.28101494146603e-05
19.42808895441075,19.866399311404514,0.9563985627418463,0.0,5.9775375071993364e-05
19.66224085929897,19.872813470725685,0.9601529390086604,0.0,5.670399506143306e-05
19.616304668835703,19.8732284802762,0.9616961488852036,0.0,5.3608130716701005e-05
19.53510888967547,19.86089170286512,0.9619495117007555,0.0,5.049999999999999e-05
19.603743598700394,19.869995223758554,0.9638842822922424,0.0,4.7391869283298976e-05
19.196798995786885,19.858157338248965,0.9651741293532338,0.0,4.429600493856693e-05
19.55876471443572,19.860914705817542,0.9648747005712179,0.0,4.122462492800662e-05
19.31876928732057,19.868922700854633,0.9666943062465451,0.0,3.8189850585339674e-05
19.071548100243803,19.857289940033397,0.9698498249493275,0.0,3.5203658778440106e-05
19.235307393849514,19.846221543997952,0.9695734291505436,0.0,3.227783464210844e-05
18.717603727030507,19.851869733422397,0.9677077575087525,0.0,2.942392506752889e-05
19.347693299422215,19.853308030049234,0.9672010318776488,0.0,2.6653193131965075e-05
18.911237915989435,19.858328682645343,0.9683296480560161,0.0,2.3976573648539646e-05
19.468845018961026,19.847225446072553,0.9732587064676617,0.0,2.1404630011522576e-05
20.094237090642064,19.846831433752545,0.970840243228303,0.0,1.8947512507439848e-05
19.39192900872148,19.84279711540244,0.9736733001658375,0.0,1.66149182565299e-05
19.204841523351966,19.85082015335389,0.9719918923899024,0.0,1.4416052942640132e-05
20.150563371387733,19.847239275716436,0.974640685461581,0.0,1.235959448259843e-05
19.111578443058633,19.838381824657365,0.974502487562189,0.0,1.04536587784401e-05
19.293894612665408,19.83527450780131,0.9742030587801732,0.0,8.70576768765026e-06
19.44045841784626,19.840361319162103,0.9729592776856459,0.0,7.122819337828748e-06
19.427915886611675,19.8399287691089,0.9739266629813893,0.0,5.711060902932039e-06
19.42762600327858,19.84317801128486,0.9739036299981574,0.0,4.476063948531556e-06
19.132582308759325,19.836965938010668,0.9732126405011977,0.0,3.4227024433898985e-06
19.129511690634757,19.840100561650228,0.9725446839874701,0.0,2.555133524132766e-06
18.417109796332653,19.83875368112821,0.9734429703335177,0.0,1.8767810889299075e-06
18.965810585681954,19.84162137159987,0.9741339598304772,0.0,1.3903222849333503e-06
19.21803595269015,19.833920533472625,0.9741800257969413,0.0,1.0976769428005576e-06
19.524823803885173,19.842806020917045,0.974502487562189,0.0,1e-06
