train_loss,val_loss,val_auc,val_risk_acc,lr
0.637421875061075,0.41565129377832816,0.8663745008221753,0.6954022988505747,9.984740801978984e-05
0.3604794624747542,0.25750437338918564,0.9478726215644822,0.7988505747126436,9.939057285945931e-05
0.27321599177888944,0.2061659702852768,0.9573643410852714,0.814176245210728,9.863231105968498e-05
0.23463670312792798,0.21244013158183445,0.9648887127084801,0.8084291187739464,9.75772975566101e-05
0.21736428560070567,0.19297000366152475,0.9711504580690627,0.8295019157088123,9.623203685930868e-05
0.2041396748917831,0.1797474341830988,0.9739620037585154,0.8371647509578544,9.46048229473242e-05
0.1909923950736844,0.1929196144714666,0.9680012332628612,0.8524904214559387,9.270568813552755e-05
0.17275804798675443,0.19605473565986786,0.9678323937044867,0.842911877394636,9.054634122155989e-05
0.17417828571864277,0.20616026429666412,0.9691537467700259,0.8524904214559387,8.814009529720152e-05
0.1613535941834694,0.17305409514355932,0.9767441860465117,0.8659003831417624,8.550178566873408e-05
0.15424618517990582,0.1749584128316563,0.9744832041343668,0.8620689655172413,8.264767839234409e-05
0.162421865569007,0.1912873016805941,0.9739032769556025,0.8409961685823755,7.959536998847741e-05
0.14897504675094272,0.18881732201867404,0.975320061075875,0.8582375478927203,7.636367895343945e-05
0.13901760574762465,0.19405081214461747,0.9769056847545219,0.8505747126436781,7.297252973710755e-05
0.12927877654160674,0.21736431490073257,0.9718478388536528,0.8563218390804598,6.944282990207194e-05
0.12611961658810755,0.19340231463355922,0.9763624618275781,0.8697318007662835,6.57963412215599e-05
0.12166162745663066,0.20233224358024268,0.9748208832511158,0.8409961685823755,6.205554551086731e-05
0.11863861363063048,0.2262330517829378,0.9727434225980738,0.8256704980842912,5.824350601949142e-05
0.11493161539114177,0.20709787271345942,0.9755623091378904,0.8486590038314177,5.438372523852832e-05
0.11087916177154944,0.2094355640911508,0.9734040991308432,0.8448275862068966,5.0499999999999994e-05
0.11307730952691308,0.22341531198971346,0.9731251468170072,0.8524904214559387,4.6616274761471674e-05
0.10362658062967449,0.19956350711912946,0.9754742189335213,0.8716475095785441,4.275649398050858e-05
0.0924449503082478,0.22038157278550538,0.9738518910030537,0.8659003831417624,3.894445448913268e-05
0.09804495131381323,0.2143081888499388,0.9718478388536529,0.8659003831417624,3.52036587784401e-05
0.08650016310347325,0.23505659975197124,0.9725966055907916,0.8448275862068966,3.155717009792805e-05
0.09256049228630663,0.23095556735007586,0.9749530185576697,0.8524904214559387,2.802747026289243e-05
0.08464189116936707,0.22533981135950007,0.9733747357293869,0.8735632183908046,2.463632104656053e-05
0.07944985011157772,0.21299500510068003,0.9752026074700494,0.867816091954023,2.1404630011522583e-05
0.07790518248103828,0.22575451069693456,0.9741822292694385,0.867816091954023,1.835232160765591e-05
0.07262215695469385,0.2264339416519778,0.973521552736669,0.867816091954023,1.5498214331265897e-05
0.07502199695984597,0.2370769704881185,0.9716276133427296,0.867816091954023,1.2859904702798466e-05
0.07121371872284833,0.24485688266911726,0.9715321822879963,0.8524904214559387,1.0453658778440104e-05
0.06434815055363771,0.24080788987863566,0.9720607235142118,0.8601532567049809,8.294311864472434e-06
0.06514331510385933,0.25284694289339,0.9709522551092319,0.8563218390804598,6.395177052675792e-06
0.06253048853923972,0.2621492354977177,0.9708421423537702,0.8563218390804598,4.767963140691305e-06
0.07060902311238663,0.245367542822699,0.9723984026309607,0.8563218390804598,3.4227024433898994e-06
0.05965465520715352,0.2497954759960887,0.9720607235142119,0.8563218390804598,2.36768894031501e-06
0.06385431393443747,0.2512510443441712,0.9713413201785295,0.8544061302681992,1.6094271405406857e-06
0.07592289392576611,0.2550900502137526,0.9718037937514682,0.8544061302681992,1.1525919802101657e-06
0.05770196606258401,0.24840679135302018,0.9717964529011042,0.8563218390804598,1e-06
